"System"	"X"	"Y"	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050	3050	3050	3051	3052	3057	3058	3059	3059	3059	3059	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145
"Acrux"	-352.026	40.745	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"FCL,Donegal March,Alarion Operational Area,Region 3"	"LA,Donegal March,Alarion Operational Area,Region 3"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province"	"LA,Alarion Province,Buena Archonette"	"LA,Alarion Province,Buena Archonette"	"LA,Buena Province"	"LC,Buena Province"	"LC,Buena Province"	"LC,Buena Province"	"LC,Buena Province"	"LC,Buena Province"
"Acubens"	-52.221	-50.716	"I"	"I"	"I"	"I"	"FWL"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"WOB"	"CoF"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"I"	"FWL,Covenant Worlds"
"Ad Duwayd"	361.884	374.511	"U"	"U"	"U"			"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Pusht-i-rud Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"	"DC,Pesht Military District,Qandahar Prefecture"
"Addasar"	-29.439	-516.52	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC,Luxen Province"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"
"Addhara"	-443.661	-293.417	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"	"MH"
"Addicks"	71.439	-0.696	"I"	"I"	"I"		"TH"	"TH,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"TH,Lockdale Province"	"AE,Lockdale Province"	"TH,Lockdale Province"	"FS,Draconis March,Robinson Operational Area,Region 1"	"DC,Dieron Military District,Addicks Prefecture,Minor Capital"	"DC,Dieron Military District,Addicks Prefecture,Minor Capital"	"DC,Dieron Military District,Addicks Prefecture,Minor Capital"	"FS,Draconis March,Robinson Operational Area,Region 1"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FCF,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"FS,Draconis March,Robinson Operational Area,Addicks PDZ"	"D"	"WOB"	"CoF"	"ROTS,Prefecture III"	"ROTS,Prefecture III"	"ROTS,Prefecture III"	"ROTS,Prefecture III"	"I"	"DC,Dieron Military District,Ashio Prefecture"
"Adelaide"	-250.471	315.316	"U"	"U"	"U"	"U"		"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"FCL,Donegal March,Coventry Operational Area,Region 1"	"LA,Donegal March,Coventry Operational Area,Region 1"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LC,Coventry Province,Melissia Theater"	"LC,Coventry Province,Melissia Theater"	"LC,Coventry Province,Melissia Theater"	"LC,Coventry Province,Bucklands Theater"	"LC,Coventry Province,Bucklands Theater"
"Adelson"	472.766	-245.354	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FCF,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Crucis March,Minette Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"	"FS,Periphery March,Anjin Muerto Operational Area,Broken Wheel Combat Region"
"Adhafera"	-105.278	-51.227	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Confederation"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"FWL,Stewart Commonality"	"SC"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"ROTS,Prefecture VII"	"I"	"WE"
"Adhara (Trip 3040+)"	-123.314	-468.96	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"
"Adherlwin"	-134.304	-418.682						"MOC"	"MOC"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"
"Adler"	155.257	-210.669	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Adrar"	-4.382	-409.233	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Adrian"	449.254	28.13						"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Milligan Operational Area,Milligan PDZ"	"DC,New Samarkand Military District,Tancredi Prefecture"
"Aea"	156.052	-426.165	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"I"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"TC,Hyades Union"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Aer (Finnalon 2822+)"	55.145	-187.635	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Capella Commonality,Region 3"	"CC,Capella Commonality,Region 3"	"CC,Capella Commonality,Region 3"	"CC,Capella Commonality,Region 3"	"CC,Capella Commonality,Region 3"	"CC,Capella Commonality,Region 3"	"CC,Capella Commonality,Region 3"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Afarsin"	-216.314	-369.872						"MOC"	"MOC"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC,Canopus District"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"	"MOC"
"Afleir"	-51.281	-2.977	"U"	"U"	"U"	"U"	"TH"	"TH,Tyrfing Province"	"TH,Tyrfing Province"	"TH,Tyrfing Province"	"TH,Tyrfing Province"	"AE,Tyrfing Province"	"TH,Tyrfing Province"	"LC,Federation of Skye,Isle of Skye"	"LC,Federation of Skye,Isle of Skye"	"LC,Federation of Skye,Isle of Skye"	"LC,Federation of Skye,Isle of Skye"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Agador (Yance)"	69.791	51.65			"AG"	"DC"	"DC"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"ROTS,Prefecture II"	"ROTS,Prefecture II"	"ROTS,Prefecture II"	"ROTS,Prefecture II"	"DC,Benjamin Military District,Algedi Prefecture"	"DC,Dieron Military District,Ashio Prefecture"
"Agematsu"	253.838	185.545			"I"			"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,Galedon Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"	"DC,New Samarkand Military District,Oshika Prefecture"
"Aggstein"	219.606	-203.11	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"FS,Capellan March,Kathil Operational Area,Region 2"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Agliana"	389.805	-289.562	"U"	"U"				"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Region 3"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Crucis March,Chirikof Operational Area,Kearny Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"
